distance,latitude,longitude,yaw,heading,delta,precision
174.09827139615334,38.94254945729174,-92.31963933929136,104.31,146.85266099359842,251.16266099359842,1
167.3061758242057,38.942529875248546,-92.31953149303065,104.31,149.11994669652023,253.42994669652023,1
166.80080757843297,38.94252837065784,-92.31952332424277,104.31,149.29872983970085,253.60872983970086,1
166.5853374685691,38.942527481916436,-92.31952036690585,104.31,149.35701672776224,253.66701672776225,1
166.4489213630259,38.942526846985736,-92.31951864960213,104.19,149.38861651939771,253.5786165193977,1
166.44847732472388,38.9425268364916,-92.31951866232335,81.63,149.38808603697845,231.01808603697845,1
166.48157011220377,38.942527020417025,-92.31951901406568,76.4,149.38265965958374,225.78265965958374,1
166.59813871076628,38.9425275148697,-92.31952058578092,83.45,149.35205784932361,232.8020578493236,1
166.80348169649398,38.942528375288866,-92.31952337477533,81.67,149.2975293521755,230.96752935217552,1
167.12273397424727,38.942529736977036,-92.31952765241341,81.5,149.21497620696755,230.71497620696755,1
167.50054268917484,38.94253130254744,-92.31953280320577,87.22,149.11454403379742,236.3345440337974,1
167.9675017280234,38.94253318102454,-92.31953927441543,89.24,148.98727861609234,238.22727861609235,1
168.47494868482698,38.94253513859986,-92.31954646401958,98.25,148.8441807445805,247.0941807445805,1
169.0009635414357,38.94253693643695,-92.31955438120781,104.59,148.6805857089405,253.2705857089405,1
169.52374836766185,38.94253848683749,-92.31956271594397,100.39,148.50274216938396,248.89274216938395,1
170.03080797191473,38.94253999296664,-92.31957076089017,84.93,148.3323103922139,233.26231039221392,1
170.53235679438657,38.942541473621574,-92.31957870500825,90.71,148.16488062713347,238.87488062713345,1
171.0865561275644,38.94254306614446,-92.31958753593274,92.41,147.97885975767213,240.38885975767212,1
171.69772041173485,38.94254463638997,-92.31959760878347,95.53,147.76327334987394,243.29327334987394,1
172.3436224580715,38.942546256394095,-92.3196082774788,91.94,147.53574924818065,239.47574924818065,1
173.03511882417797,38.94254802923183,-92.31961955826824,93.88,147.2982144147431,241.17821441474308,1
173.76422038370674,38.94254980021415,-92.31963157952983,96.71,147.0448151874296,243.75481518742959,1
174.51829148068686,38.94255150673511,-92.31964418331128,97.79,146.7784103129133,244.56841031291333,1
175.28860204022843,38.9425530439475,-92.31965737793418,99.64,146.49697762103426,246.13697762103425,1
176.06167117266142,38.94255464135374,-92.31967042705155,91.74,146.222629282944,237.96262928294402,1
176.83179647780003,38.94255620666421,-92.31968339381106,96.75,145.95195060292974,242.70195060292974,1
177.62738635537687,38.94255771487017,-92.31969691006657,97.17,145.66980936328207,242.8398093632821,1
178.45066387187566,38.942559241161966,-92.31971086932613,101.2,145.38043293682085,246.58043293682084,1
179.26632191941212,38.94256065746158,-92.31972478616686,98.79,145.0924462184841,243.88244621848412,1
182.35291903834676,38.94256594373517,-92.31977679008105,98.73,144.0391601715122,242.76916017151223,1
